iter	RMSE
307	0.0816692479
308	0.08157606375
309	0.0814785166
310	0.08131662096
311	0.08125950265
312	0.08118621721
313	0.08115396252
314	0.08108512758
315	0.08098206394
316	0.08082359445
317	0.08078332235
318	0.08074385045
319	0.08064939624
320	0.08053469629
321	0.08044990151
322	0.08042281659
323	0.08027098448
324	0.08019216068
325	0.08012872825
326	0.08003123738
327	0.07996354602
328	0.07980482379
329	0.0796762062
330	0.07958665272
331	0.079470987
332	0.07944618292
333	0.0794140742
334	0.07928873288
335	0.07926702084
336	0.07910594902
337	0.07898698059
338	0.07884619115
339	0.0787027261
340	0.07867512849
341	0.07859255951
342	0.07841013694
343	0.07838722436
344	0.0782665109
345	0.07821537747
346	0.07818829639
347	0.07810552929
348	0.07800747396
349	0.07790298926
350	0.07781960742
351	0.07776234592
352	0.07770171917
353	0.07757144436
354	0.07752896222
355	0.07743747564
356	0.0774102694
357	0.0773350804
358	0.07729611468
359	0.07719581014
360	0.07714663182
361	0.07702608193
362	0.0769278891
363	0.07679801218
364	0.07677272107
365	0.07675430536
366	0.07668734947
367	0.07665569605
368	0.0765119761
369	0.07641027963
370	0.07638850261
371	0.07636743156
372	0.07634550879
373	0.07627070631
374	0.07614718011
375	0.07605170464
376	0.0760327478
377	0.07593324485
378	0.07583912381
379	0.07579573554
380	0.07574272834
381	0.07569096316
382	0.07554891522
383	0.07548319734
384	0.07544770124
385	0.07540696647
386	0.07533650456
387	0.07524433634
388	0.07520863172
389	0.07518677934
390	0.07508284253
391	0.0749658428
392	0.07492869208
393	0.07486045488
394	0.0747481741
395	0.07467560887
396	0.07463739127
397	0.07454799091
398	0.07438887309
399	0.07437340658
400	0.07434561461
401	0.07422677419
402	0.07419226075
403	0.07406142458
404	0.07389426704
405	0.0738143331
406	0.07372117237
407	0.07364071093
408	0.07362297408
409	0.07351487051
410	0.07350460338
411	0.07348200695
412	0.07340198025
413	0.07330442427
414	0.0732899906
415	0.07321229288
416	0.07320250269
417	0.07310046003
418	0.07301009498
419	0.07292732744
420	0.07288637139
421	0.07286729067
422	0.07277162354
423	0.07261688773
424	0.07258571569
425	0.07249700273
426	0.07248448418
427	0.072426553
428	0.07228230191
429	0.07218870016
430	0.0720852837
431	0.07198615637
432	0.07197476053
433	0.07188611811
434	0.07175773981
435	0.07164940017
436	0.07156621757
437	0.07154970439
438	0.07149974711
439	0.07142867943
440	0.07141940156
441	0.07140849492
442	0.07139967488
443	0.07134412757
444	0.07127683029
445	0.07116358125
446	0.0710438876
447	0.07102176217
448	0.07092896709
449	0.07084933518
450	0.07077708676
451	0.07074826725
452	0.07064589171
453	0.07063487387
454	0.07060138024
455	0.07059084259
456	0.07051767247
457	0.07040776294
458	0.07029259812
459	0.0702632197
460	0.07018515806
461	0.07007306113
462	0.06997748187
463	0.06995338242
464	0.06985463781
465	0.06974043228
466	0.06966492295
467	0.06964845788
468	0.06957492761
469	0.06944985282
470	0.06935054244
471	0.06924999867
472	0.06923714293
473	0.06913249147
474	0.06900631871
475	0.06892854997
476	0.06882537808
477	0.06881554359
478	0.06878706669
479	0.06877363355
480	0.06876590663
481	0.06868976889
482	0.0686807018
483	0.06866913474
484	0.06859125347
485	0.06849026408
486	0.06843347451
487	0.06837338759
488	0.06830416303
489	0.06829455061
490	0.06828727285
491	0.06822683404
492	0.06812087902
493	0.06804090353
494	0.06794062432
495	0.06788413247
496	0.06784312995
497	0.06782165443
498	0.06778218566
499	0.06771807405
500	0.06766375565
501	0.06755758065
502	0.06751335346
503	0.06748727517
504	0.06740593465
505	0.06733770623
506	0.06729722248
507	0.06716639966
508	0.06711125831
509	0.0670020456
510	0.06696738735
511	0.06688805414
512	0.06684054906
513	0.0667516447
514	0.06669629944
515	0.06663349593
516	0.06659422597
517	0.06647112412
518	0.06642018526
519	0.06630908913
520	0.06626153198
521	0.06619302844
522	0.06614077028
523	0.06605684658
524	0.06597559239
525	0.0659634534
526	0.06595185144
527	0.06591057883
528	0.06589701008
529	0.06579226018
530	0.06572247136
531	0.06570188548
532	0.06563321933
533	0.06558593386
534	0.06556025519
535	0.0655294382
536	0.0654653422
537	0.06539964256
538	0.06535506454
539	0.06531312215
540	0.06529237435
541	0.06522696192
542	0.06521444158
543	0.06518374155
544	0.0651768432
545	0.06509860523
546	0.06501481184
547	0.06493877056
548	0.06486052739
